row_id_new,sentence,location,location_number,source_location_label,user_location_label
714,"if you have a lot of $$$ you could come to poland, stay in some hotel, order sn to your hotel (it takes only few days to arrive) and do it there.",poland,1,1,0
14704,not even in germany.,germany,1,0,1
5885,"hi everyone, can you guys pls give me a source where i can buy sn from that can ship it here in morocco ?",morocco,1,0,1
13417,"spoiler: the effects of sodium nitrite sodium nitrite, nano2, acts as a catalyst in the conversion of the hemoglobin in your blood into methemoglobin (methb), a molecule with a much higher affinity with oxygen.",methemoglobin,1,0,0
4215,i too have ordered from ukraine seller coming to australia,ukraine,1,1,1
16734,"weeks ago, antonio ordered that banned and deadly substance from poland: sodium nitrite.. when the poison had arrived, probably sent by post, the student had booked the roomfor some months the boy had problems and had started to be followed by a psychiatrist.",poland,1,1,0
3633,"and if the west continues to mess up. click to expand... we have america, theyγçöll do something...",america,1,0,0
3847,"some ideas for the distribution in america, i would think news stations, congressmen and lawmakers would be a start.",america,1,0,0
11100,"besides milk of magnesia, tagamet is what's the most recommended for this method but is it otc in the uk?",uk,1,0,1
13029,"hi everyone, need a reliable sn source, im from the uk.",uk,1,0,1
15457,i looked at belgium where doctors gave patients barbiturates to sleep then pentobarbital to give a heart attack.,belgium,1,0,0
7318,ordered sn from turkey.,turkey,1,1,0
1859,mexico is not easy to get n just by going so donγçöt try to travel for it.,mexico,1,0,0
6535,"*: it's legal to export from the us, but you need to check if it is legal to import in your country as well.",us,1,1,0
12287,that's weird because both ip addresses for the first two accounts showed up in the united states.,the united states,1,0,0
7189,"opening is ok, but i'd recommend buying sn fri poland.",poland,1,1,0
2401,iγçöm in australia and iγçöve sourced sn and antiemetic without issue.,australia,1,1,1
9689,"discussions, of course, are still welcome, just say something like ""the uk sn seller"" or ""name starts with"" or ""rhymes with"" when asking, and it should still allow you to research and choose wisely, but also protect the site and the sources in question while doing so.",uk,1,0,0
11610,i'm a 19 y/o student (from india),india,1,0,1
4604,and if anyone has further advice please pm me (like whatγçös wrong with the common walk-in w store in the us that sells it?,us,1,1,1
1231,"certainly, no one in the family can imagine that fabio has chosen to end it all.",fabio,1,0,0
8593,both times the reshipper noticed i was ordering sn and refused to ship it to australia.,australia,1,0,1
11110,"you can also search this site -- sanctioned suicide search -- many are from uk. search for any variation of ""sn"" [delivered, waiting, where, buy, etc].",uk,1,0,1
4230,"spoiler: the effects of sodium nitrite sodium nitrite, nano2, acts as a catalyst in the conversion of the hemoglobin in your blood into methemoglobin (methb), a molecule with a much higher affinity with oxygen.",methemoglobin,1,0,0
6457,iγçöm not in china currently,china,1,0,0
16735,spoiler a lethal poison brought from poland.,poland,1,1,0
15760,i'm based in the uk.,uk,1,0,1
7767,"that man is the first of 11 to be found that day in manhattan; all of them, as roueche says, were ""rigid, cyanotic and in a state of shock.",manhattan,1,0,1
8466,"(toxicology literature, methemoglobin inducers) if you are unfamiliar with the medical term ""half-life"": γç¥half-life [γçª] is the time required for a quantity to reduce to half its initial value.γç¥ https://en.wikipedia.org/wiki/half-life ""cyanosis is a consistent physical finding and typically occurs when just 1.5 g/dl of methemoglobin is present, which represents approximately a 10% methemoglobinemia.",methemoglobin,1,0,0
10369,"so the storing process is really important, if i will be unable to obtain sn in europe in the future.",europe,1,1,1
9937,"i won't use the sn which i ordered from the uk lab site, after further research, the price is way too cheap from what i read it should be around 10$ for 100g",uk,1,1,0
1820,"frequently asked questions death & recovery storage intake fasting antiemetics -... sanctioned-suicide.org day 1 medication and dose 08:00hrs 1 x 10mg metoclopramide 16:00hrs 1 x 10mg metoclopramide 24:00hrs 1 x 10mg metoclopramide day 2 food, fast, medication and dose 08:00hrs 1 x 10mg metoclopramide 09:00hrs 1 x full english breakfast 14:00hrs 2 x big macs with fries and vanilla milkshake 15:00hrs 1 x begin 9 hour fast 16:00hrs 1 x 10mg metoclopramide 22.00hrs 1 x begin 2 hour water fast 22:15hrs 4 x 75mg ranitidine (300mg) 22:30hrs 2 x 40mg propranolol (80mg) 22:45hrs 3 x 10mg metoclopramide (30mg) 23:00hrs 2 x 500mg of paracetamol (1000mg) 23:30hrs 1 x 20mg diazepam 23:45hrs 1 x mix 30g sn 23:50hrs 1 x last cigarette, roll up of golden virginia tobacco 24:00hrs 1 x swallow sn with water, rizla or chocolate bomb (not decided yet) cheers geo",virginia,1,0,0
18992,"""who is the president of the united states?""",the united states,1,0,0
6497,do people know what the best route in the uk could be?,uk,1,0,1
4431,"so far, for my country (france), i've only found one brand on the jungle website, bt.",france,1,0,1
2718,"i had to buy from abroad and ship to the uk , which is legal with ami, but not with benzos as they are a class c drug here.",uk,1,0,1
9802,"just wanted to say, that i live in germany, ordered sn off from ebay.",germany,1,0,1
2162,all of amazons listings are γç£out of stockγç¥ and a few different lab sites i looked into no longer ship to canada so iγçöm not sure what to do.,canada,1,0,1
7677,prefer if you live in poland since you know the country.,poland,1,0,0
10002,"after waiting over 40 days, my sn finally arrived from ukraine.",ukraine,1,1,0
6538,conclusion: it is possible to buy sn in the eu from the us.,us,1,1,1
5318,"hello all, just a word of warning on ordering from ebay within the uk, i think some suppliers of sn are being somewhat economical with the truth regarding what theyγçöre selling. one of my contacts showed me the plastic containers of sn they had purchased and when i looked inside, the contents had lumps of dry sn within-it looked a bit suspect.",uk,1,1,1
3868,"@taran, is it possible to buy sn within one week from anywhere in india?",india,1,0,1
6293,i don't care. - contacted and made full preparations for my cat to be cared for - got my funeral plan bought about four years ago - sorted out which funeral director - selling other stuff at the moment as i want to give the money to my aunt in canada - booked the hotel room - cancelled subscriptions and some direct debits.,canada,1,0,0
259,"i beg you to have the spirit of a new orleans funeral, or the dancing pall-bearers.",new orleans,1,0,0
699,i live in france and it feels like it's so incredibly hard to find sn here.,france,1,0,1
8140,"hi guys my sn from m, ukraine arrived today.",ukraine,1,1,0
4454,"if anyone from new zealand has successfully sourced sn, can you please pm me thank u.",new zealand,1,0,1
972,hi all! i have sn from poland from a website that has the name of a chemical as the website name.,poland,1,1,0
4381,but it is a reportable substance meaning vendors must report suspicious transactions within the uk.,uk,1,1,0
2666,"important stuff: you must use measuring spoons for this, not utensil dining spoons!!",utensil,1,0,0
11989,the uk police will have no knowledge about overseas sellers though so if you bought from overseas don't even worry about a welfare check.,uk,1,0,1
9064,"the seller is in the uk, but it was supposed to be here by now, so i'm guessing it was confiscated at customs.",uk,1,1,0
11853,russia is not mean.,russia,1,0,0
18384,"although in one case, a 23-year-old woman ate an unacceptable amount of sodium nitrate and her methemoglobin concentration rose to 92.7% (dela cruz et al., 2018), a 67-year-old man ate 75 g of sodium nitrate and developed vomiting and diarrhea.",al.,1,0,0
9806,i ordered from poland sn on eb**.,poland,1,1,0
2330,ive heard about places that are way worse than germany.,germany,1,0,0
11091,"continuing mid day,got a call from ""russia"" probably from those scammers from those websites where i tried to buy generic reglan.",russia,1,0,0
6275,"greetings. in south korea, it is impossible that people who are 'not' an expert or an authorized businessman purchase sn.",south korea,1,0,1
5340,sn is easily available in the us and some counties.,us,1,1,0
5292,"i literally can't even step outside my room without heavily dissociating, but, hey, at least i got a platinum trophy in persona 5 royal right before the end ┬»\_(πâä)_/┬» a list of reasons: depression and anhedonia, severe borderline personality disorder, potential schizophrenia developing, social anxiety, social awkwardness, social ineptitude, and a few others.",anhedonia,1,0,0
16637,"in brazil at 2022, it's super easy to buy sn in common online marketplaces.",brazil,1,1,1
2042,so i ordered from uk.,uk,1,1,0
8705,"γçó sodium nitrite is available to be purchased in lethal quantities from a uk website for less than ┬ú5:00, again without restriction.",uk,1,1,0
16240,"i figured that i need a ""one shot one kill"" method, it's the only way to cross the line without having any way to falter and turn back; that's why i am asking if you could dm me a reliable supplier in eu for sn?",eu,1,0,1
9678,"ive searched google dry, the only possible place left is ebay another uk seller, but havent got the time to wait for another cancellation because of corona.",uk,1,1,0
2665,"if your spoon does not have a measuring unit on it, it is an utensil dining tablespoon and thus the volume can vary greatly and thus itγçös totally unsuited for precise sn measuring.",utensil,1,0,0
10773,"(in canada it would be the college of physicians and surgeons, but not sure what it would be called in other places, but surely there is some equivalent.)",canada,1,0,1
3584,i live in california.,california,1,0,1
6833,i am a very anxious person by nature and am having a bit of a freak out over the possibility of my order of sn (from usa to uk) being siezed at the boarder.,uk,1,1,1
12247,"if rcmp gets involved, i suppose i'd get called for a friendly warning and maybe some ""welfare checks""?",rcmp,1,0,0
4339,what would you make up? in another thread someone mentioned that a person that lives in germany had problems with the police and had to pay a fine.,germany,1,0,1
17042,i decided to go live with my sister in indiana,indiana,1,0,1
3038,now america has 1 extra vent.,america,1,0,0
9603,"currently the only known reliable source is a man named ""a"" in mexico who sells it to people around the world.",mexico,1,1,0
18675,opiad + propofol + neuromuscular blocker was used for the first euthanasia in canada.,canada,1,0,0
8090,he never intended to buy the gun for me or meet me in canada.,canada,1,0,1
10509,feels good to know that i have an understanding companion :) iγçöm currently based in south korea.,south korea,1,0,1
7156,can anyone else vouch for this site in canada?,canada,1,1,0
9647,the us had plans of slowly removing sn as an additive in the 1900's.,us,1,0,0
1947,"i got my meto from my family doctor, just complain about having severe nausea after meals, it is easy to obtain by faking symptoms acid reflux, migraine.. etc i won't trust online pharmacies and canada has a very strict regulation on meds can you please pm me the source from where you have got you sn, i can't find a reliable source that ship to canada, amazon, ebay dont ship and laboratory shops only sell to manufacturering companies, i fucked i have meto but no sn",canada,1,0,0
1947,"i got my meto from my family doctor, just complain about having severe nausea after meals, it is easy to obtain by faking symptoms acid reflux, migraine.. etc i won't trust online pharmacies and canada has a very strict regulation on meds can you please pm me the source from where you have got you sn, i can't find a reliable source that ship to canada, amazon, ebay dont ship and laboratory shops only sell to manufacturering companies, i fucked i have meto but no sn",canada,2,0,1
17857,storageγçïprimersn acts much like table salt (nacl) .,storageγçïprimersn,1,0,0
17857,storageγçïprimersn acts much like table salt (nacl) .,nacl,2,0,0
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",belgium,1,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",denmark,2,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",germany,3,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",france,4,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",luxembourg,5,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",netherlands,6,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",austria,7,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",finland,8,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",poland,9,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",portugal,10,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",uk,11,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",sweden,12,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",switzerland,13,0,1
16232,are there any other sn suppliers within canada or united states that ships to canada if you're not a business?,canada,1,1,0
16232,are there any other sn suppliers within canada or united states that ships to canada if you're not a business?,united states,2,1,0
16232,are there any other sn suppliers within canada or united states that ships to canada if you're not a business?,canada,3,0,1
7456,"nitrates are not permitted in meat products in norway and sweden, while the use is being reduced in denmark and finland.",norway,1,0,0
7456,"nitrates are not permitted in meat products in norway and sweden, while the use is being reduced in denmark and finland.",sweden,2,0,0
7456,"nitrates are not permitted in meat products in norway and sweden, while the use is being reduced in denmark and finland.",finland,3,0,0
15744,"only those living in the uk, germany, ireland and australia had instances of the police being involved with sn purchases.",uk,1,0,1
15744,"only those living in the uk, germany, ireland and australia had instances of the police being involved with sn purchases.",germany,2,0,1
15744,"only those living in the uk, germany, ireland and australia had instances of the police being involved with sn purchases.",ireland,3,0,1
15744,"only those living in the uk, germany, ireland and australia had instances of the police being involved with sn purchases.",australia,4,0,1
13175,"think i can get it from the usa but the supplier does not ship to the uk, so not having any luck as this is my preferred method ive got the anti sickness prescription meds but can not find the nano2 sn on the web. i can find a suppler in the usa but its been taken off sale in the uk click to expand... all i can find is a suppler in the usa and they want ┬ú73 to ship to the uk anyone that can point me in the right direction as to where to get sn nano2 in the uk or that will ship to the uk.",uk,1,0,1
13175,"think i can get it from the usa but the supplier does not ship to the uk, so not having any luck as this is my preferred method ive got the anti sickness prescription meds but can not find the nano2 sn on the web. i can find a suppler in the usa but its been taken off sale in the uk click to expand... all i can find is a suppler in the usa and they want ┬ú73 to ship to the uk anyone that can point me in the right direction as to where to get sn nano2 in the uk or that will ship to the uk.",uk,2,0,0
13175,"think i can get it from the usa but the supplier does not ship to the uk, so not having any luck as this is my preferred method ive got the anti sickness prescription meds but can not find the nano2 sn on the web. i can find a suppler in the usa but its been taken off sale in the uk click to expand... all i can find is a suppler in the usa and they want ┬ú73 to ship to the uk anyone that can point me in the right direction as to where to get sn nano2 in the uk or that will ship to the uk.",uk,3,0,1
13175,"think i can get it from the usa but the supplier does not ship to the uk, so not having any luck as this is my preferred method ive got the anti sickness prescription meds but can not find the nano2 sn on the web. i can find a suppler in the usa but its been taken off sale in the uk click to expand... all i can find is a suppler in the usa and they want ┬ú73 to ship to the uk anyone that can point me in the right direction as to where to get sn nano2 in the uk or that will ship to the uk.",uk,4,1,1
13175,"think i can get it from the usa but the supplier does not ship to the uk, so not having any luck as this is my preferred method ive got the anti sickness prescription meds but can not find the nano2 sn on the web. i can find a suppler in the usa but its been taken off sale in the uk click to expand... all i can find is a suppler in the usa and they want ┬ú73 to ship to the uk anyone that can point me in the right direction as to where to get sn nano2 in the uk or that will ship to the uk.",uk,5,0,1
3783,"donna morta a barletta, non era sorbitolo ma nitrito di sodio (woman who died in barletta, was not sorbitol but sodium nitrite)",barletta,1,0,1
3783,"donna morta a barletta, non era sorbitolo ma nitrito di sodio (woman who died in barletta, was not sorbitol but sodium nitrite)",barletta,2,0,1
6372,germany is on the list of risky countries as well as austria and poland.,germany,1,0,0
6372,germany is on the list of risky countries as well as austria and poland.,austria,2,0,0
6372,germany is on the list of risky countries as well as austria and poland.,poland,3,0,0
8320,"iγçöve spent a lot of time trying to get a source of sn, which has been extremely difficult due to living in the uk. iγçöve finally found a turkish seller who is willing to ship to the uk. iγçöve already ordered but iγçöm just getting extremely anxious and paranoid about it getting through customs.",uk,1,0,1
8320,"iγçöve spent a lot of time trying to get a source of sn, which has been extremely difficult due to living in the uk. iγçöve finally found a turkish seller who is willing to ship to the uk. iγçöve already ordered but iγçöm just getting extremely anxious and paranoid about it getting through customs.",uk,2,0,1
5745,"(norway, sweden, canada, germany.)",norway,1,0,0
5745,"(norway, sweden, canada, germany.)",sweden,2,0,0
5745,"(norway, sweden, canada, germany.)",canada,3,0,0
5745,"(norway, sweden, canada, germany.)",germany,4,0,0
